epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0898,1.46385,1.14505,0.01532,0.7682,0.70092,0.7825,0.47065,1.47029,1.01011,0.01843,0.000665076,0.000665076,0.000665076
2,166.546,1.47303,1.13918,0.01504,0.77005,0.68859,0.77515,0.45765,1.49343,1.01652,0.01856,0.00126582,0.00126582,0.00126582
3,242.903,1.48425,1.12472,0.01585,0.77642,0.69476,0.79847,0.45887,1.54585,1.0145,0.01975,0.00180057,0.00180057,0.00180057
4,326.507,1.46773,1.17668,0.01556,0.72986,0.71223,0.75429,0.44468,1.51032,1.08507,0.01949,0.001703,0.001703,0.001703
5,397.352,1.44408,1.11593,0.01535,0.76283,0.70092,0.77035,0.42906,1.61296,1.09732,0.02073,0.001604,0.001604,0.001604
6,467.804,1.40564,1.04864,0.01467,0.83443,0.72354,0.84109,0.52905,1.38285,0.8477,0.01729,0.001505,0.001505,0.001505
7,539.432,1.38361,1.00653,0.01451,0.83324,0.74409,0.86387,0.55227,1.32734,0.81375,0.01674,0.001406,0.001406,0.001406
8,609.709,1.35206,0.98867,0.01414,0.83483,0.78956,0.87603,0.57235,1.28589,0.78285,0.01579,0.001307,0.001307,0.001307
9,679.265,1.31793,0.94081,0.01354,0.79174,0.72662,0.81932,0.50136,1.42435,0.9362,0.01797,0.001208,0.001208,0.001208
10,750.19,1.28156,0.90173,0.01315,0.81895,0.82014,0.87721,0.57819,1.27776,0.7392,0.01548,0.001109,0.001109,0.001109
11,829.14,1.16172,0.6127,0.01413,0.85709,0.77595,0.87055,0.56434,1.25732,0.78461,0.01537,0.00101,0.00101,0.00101
12,898.724,1.1143,0.54835,0.01352,0.84613,0.83077,0.89394,0.59302,1.24005,0.71393,0.0153,0.000911,0.000911,0.000911
13,968.741,1.07582,0.52588,0.01287,0.82849,0.82117,0.89533,0.60227,1.22049,0.67426,0.01432,0.000812,0.000812,0.000812
14,1037.49,1.03092,0.46463,0.01197,0.88194,0.81912,0.90429,0.62006,1.17729,0.65916,0.01395,0.000713,0.000713,0.000713
15,1107.67,0.98658,0.44461,0.01167,0.91665,0.82506,0.91332,0.62458,1.18211,0.65616,0.01438,0.000614,0.000614,0.000614
16,1177.3,0.96029,0.41124,0.01097,0.9008,0.83556,0.91394,0.63729,1.14326,0.63925,0.01358,0.000515,0.000515,0.000515
17,1246.61,0.91431,0.38563,0.01047,0.88909,0.85303,0.91731,0.64147,1.14663,0.63101,0.01366,0.000416,0.000416,0.000416
18,1316.34,0.89094,0.37577,0.00996,0.8951,0.84186,0.91798,0.64915,1.11059,0.62535,0.01319,0.000317,0.000317,0.000317
19,1386,0.87602,0.3691,0.00964,0.90644,0.83641,0.91918,0.65335,1.10372,0.61489,0.01304,0.000218,0.000218,0.000218
20,1456.46,0.8593,0.35675,0.0096,0.8966,0.84666,0.91936,0.65045,1.0972,0.62161,0.01297,0.000119,0.000119,0.000119
